x,y,source
16.597885,1.8109031,natural
1.5456743,-0.58157945,natural
13.100104,3.7773986,natural
-3.5287826,2.9776888,natural
5.294893,-0.7149926,natural
15.639181,2.7076883,natural
2.5563655,-0.62392026,natural
4.689403,-2.8643568,natural
5.7462845,-2.8317502,natural
12.4798,3.504876,natural
3.3491035,-4.898873,natural
7.2284875,-1.6894946,natural
7.0666203,6.587144,natural
14.373084,2.9509268,natural
15.464006,2.5747514,natural
3.9629188,-2.6058402,natural
12.862576,2.3289604,natural
11.476079,6.0135293,natural
10.641451,-0.120731406,natural
5.260412,-2.0137088,natural
13.8833,4.7799783,natural
6.8591433,-2.326086,natural
9.312077,1.589133,natural
5.590059,-3.40827,natural
-2.483544,5.6600604,natural
5.3557067,-1.738507,natural
15.309678,4.118803,natural
-2.1752737,4.4061675,natural
12.3856945,1.6454586,natural
5.180077,-2.9673247,natural
5.253654,-4.7837634,natural
16.02798,1.9020375,natural
7.235324,-1.072179,natural
7.6780167,-1.5841805,natural
11.434132,1.6258453,natural
2.580675,-1.4430634,natural
2.8329961,-4.677027,natural
10.798547,4.021626,natural
-2.7218032,3.7142663,natural
14.730234,3.7846737,natural
2.5381405,-0.7113038,natural
5.2538137,-0.7226786,natural
6.4307427,-0.59703475,natural
14.133221,2.4513412,natural
11.193052,0.13266982,natural
10.757208,4.1915746,natural
4.4458103,-2.7230031,natural
15.120781,3.096925,natural
13.898266,-0.27564394,natural
10.58642,4.1650815,natural
7.313623,-1.922353,natural
12.548677,2.6851554,natural
15.9875345,3.37113,natural
-3.36821,4.0037208,natural
15.66822,1.18771,natural
14.948408,-2.9195642,natural
6.8529305,-1.8973153,natural
10.672024,-1.0226872,natural
13.06042,2.4061499,natural
16.360338,3.2415535,natural
15.048503,1.0469587,natural
-3.6416903,2.841709,natural
-3.7320433,4.199512,natural
13.352516,3.9788997,natural
5.895695,-2.0027177,natural
7.326236,-0.54832345,natural
-3.6568673,4.088267,natural
7.0528517,-0.5442965,natural
12.7659,-0.016518634,natural
2.1979408,-0.7803196,natural
4.9224257,-3.2722077,natural
11.728529,3.5757596,natural
7.6805253,-1.3630148,natural
3.6485865,-1.6637636,natural
15.969706,3.2868345,natural
5.0892076,-2.0656993,natural
13.799956,2.0177724,natural
15.024489,0.10269473,natural
9.562274,3.546059,natural
12.350411,2.0383835,natural
12.810356,0.038615443,natural
3.9464686,-2.9737968,natural
15.689973,3.447713,natural
5.220194,-4.6433134,natural
15.944156,1.9600761,natural
12.283423,1.4452372,natural
1.0828202,-3.0171316,natural
12.878714,0.9079324,natural
15.9230585,2.2347412,natural
5.976698,-1.5851125,natural
6.303263,-1.7126572,natural
4.6917176,-2.2664642,natural
12.351123,1.5168135,natural
2.0721943,0.35930645,natural
15.334065,1.7848216,natural
10.506646,4.210397,natural
7.609777,-1.2269409,natural
10.866259,1.3075334,natural
4.2773743,-4.166822,natural
11.496127,1.2719969,natural
16.151133,3.565912,natural
2.5774264,-0.6593137,natural
13.811841,1.27187,natural
10.553779,0.11565092,natural
12.838407,0.8337288,natural
5.4264536,-2.4389775,natural
2.1132812,0.26507187,natural
6.68743,-3.0279455,natural
14.434541,4.4192433,natural
-3.8373232,4.2622995,natural
2.685737,-2.7685306,natural
-3.1459568,3.2371533,natural
5.4108944,-2.8314884,natural
4.7877655,-3.348679,natural
9.756559,6.564903,natural
4.2164264,-1.6079925,natural
2.9768152,-2.518524,natural
15.14509,2.487649,natural
6.1941104,-1.2159436,natural
4.107487,-1.2785355,natural
6.93373,-2.375805,natural
7.733302,-2.046761,natural
3.148939,-0.22633693,natural
10.702331,4.3455653,natural
13.837007,1.2142707,natural
7.8416777,-1.0943369,natural
5.780896,-2.5776358,natural
12.24092,0.7065304,natural
2.4975586,-1.1558137,natural
8.888556,-0.84919775,natural
2.7867994,-2.7394419,natural
12.417494,3.4880342,natural
4.4588633,-3.1554358,natural
15.113643,3.5486646,natural
1.9090225,-3.617539,natural
14.706496,4.622749,natural
15.014813,1.2123517,natural
10.572077,-1.3056151,natural
3.370319,0.06555313,natural
12.677056,4.6808968,natural
6.8061295,-2.3748727,natural
13.482289,4.6931224,natural
3.3538687,-4.7100196,natural
11.053853,4.9322033,natural
11.8714905,1.8874568,natural
3.8369036,-2.2306635,natural
7.051722,6.611291,natural
13.160067,1.6674103,natural
-2.3428707,3.5011604,natural
2.628944,-3.4731638,natural
12.203371,0.64945316,natural
4.57075,-2.7007484,natural
-0.87099,3.580963,natural
2.983845,-2.3225012,natural
11.93216,2.7404964,natural
5.1474643,-2.52513,natural
12.080244,4.1085243,natural
11.410991,1.6774564,natural
-3.2880368,3.6110938,natural
12.91656,2.3076544,natural
10.655355,4.1834807,natural
6.205087,-2.1079783,natural
2.7262604,-0.042095985,natural
14.392935,3.19424,natural
15.479983,1.765065,natural
14.08456,2.8762245,natural
6.886512,6.771873,natural
7.792819,-1.5022373,natural
-0.79899305,3.5144386,natural
1.7906871,-0.5713108,natural
5.140891,-4.537164,natural
2.689019,0.037832752,natural
12.808448,0.041314334,natural
14.89206,5.011091,natural
15.993171,3.242998,natural
11.238321,1.4316448,natural
11.571205,4.5259314,natural
11.24264,1.3823705,natural
15.860939,3.4993153,natural
10.647463,2.6781228,natural
11.697183,3.5583189,natural
8.447787,0.050505694,natural
10.953222,1.4566061,natural
7.3945065,-2.0454154,natural
12.750059,5.159271,natural
7.1220183,-1.6149981,natural
7.201048,-1.5017545,natural
3.4758477,-1.1404569,natural
5.8949957,-1.7071263,natural
7.0743227,6.5832467,natural
11.817312,5.1570916,natural
15.186464,2.7185736,natural
12.873868,0.7653226,natural
13.401995,3.7764072,natural
13.057067,-0.51301116,natural
15.426202,2.9624145,natural
13.714557,1.2156001,natural
14.371137,4.99192,natural
13.125394,-0.5028758,natural
2.6744585,-4.0626655,natural
15.21412,4.3743854,natural
13.339043,4.6999297,natural
11.011383,4.2497773,natural
11.933529,3.7842855,natural
12.01546,3.4911966,natural
6.0585113,-1.4864154,natural
9.620231,5.078227,natural
5.934203,-2.3241577,natural
12.865379,0.76076066,natural
11.464873,7.769672,natural
15.564962,2.1408367,natural
15.088797,2.9873164,natural
-2.391526,4.2274632,natural
-2.3336968,4.810116,natural
14.59381,0.8629873,natural
5.019359,-2.7311912,natural
7.515038,-1.273088,natural
-1.5505848,3.6796353,natural
15.816009,3.643338,natural
14.473084,3.6625192,natural
13.715454,5.67902,natural
15.256927,2.395777,natural
7.8461637,-1.7411134,natural
13.429157,2.776268,natural
6.9067245,6.7529864,natural
13.684557,0.41064718,natural
16.680666,2.5678728,natural
9.149158,-1.8172169,natural
5.203843,-1.8793654,natural
10.666457,2.698533,natural
3.0742333,-3.095918,natural
10.69358,4.3326306,natural
7.0384316,-1.4601325,natural
13.248045,2.7288034,natural
2.4220998,-3.2239275,natural
7.2147207,-1.3423283,natural
15.550315,2.8491087,natural
12.555957,2.7059116,natural
14.605644,2.8026495,natural
2.091536,-2.8472884,natural
14.148826,4.1413126,natural
13.110735,4.0962944,natural
7.120576,-1.7885863,natural
10.888216,0.018334594,natural
6.667278,-1.4037288,natural
5.344867,-2.618875,natural
7.5764155,-1.4242469,natural
5.350398,-2.746436,natural
15.881387,1.2462686,natural
9.8779,-0.40539852,natural
15.219966,3.5220616,natural
15.086609,3.322653,natural
6.642697,-0.8046886,natural
1.9043442,-2.8359609,natural
4.0555024,-4.344708,natural
13.311012,0.4722682,natural
14.584205,3.5986142,natural
11.186939,4.676176,natural
4.8908095,-2.523299,natural
7.616891,-1.7528787,natural
13.107509,1.9033045,natural
4.7408447,-1.3965368,natural
14.015543,5.1146665,natural
4.6488085,-2.516409,natural
10.835775,-1.0185016,natural
16.342716,2.5644484,natural
5.05806,-3.3995233,natural
4.911896,-2.408891,natural
5.8836083,-3.2518568,natural
6.0130196,-1.6071609,natural
3.912273,-0.8935092,natural
13.278997,1.2838786,natural
14.803478,2.6072102,natural
3.9721386,-1.2501342,natural
-2.5408406,3.4695344,natural
6.0096707,-2.2609973,natural
8.831593,0.7005532,natural
15.337011,2.4128273,natural
4.509111,-3.0345867,natural
-3.5486627,2.931973,natural
-2.4650128,3.9877589,natural
16.124615,3.2981412,natural
15.35058,2.9134064,natural
2.713689,-3.8991482,natural
11.90364,2.7995331,natural
14.864097,2.384253,natural
3.815736,-1.9376273,natural
8.8272,0.67265797,natural
15.801455,3.184276,natural
5.5428095,-1.249847,natural
14.88303,0.33183044,natural
5.255819,-2.4502835,natural
10.131769,1.197204,natural
13.286081,-0.19168349,natural
4.695988,-2.4121344,natural
4.3456883,-0.36281443,natural
15.883952,3.2912335,natural
3.014112,-3.780893,natural
15.355844,4.6165004,natural
15.633186,2.7567883,natural
13.012989,1.6882325,natural
5.3486624,-2.472782,natural
16.715954,2.7815557,natural
7.4991407,-2.1965988,natural
6.753598,-2.2294588,natural
9.610439,5.09117,natural
9.971043,2.8671937,natural
10.736775,2.2423666,natural
6.9064264,-2.251574,natural
10.303061,-0.10847307,natural
13.55228,0.33496687,natural
12.280189,0.51628226,natural
5.776012,-1.8368944,natural
12.3161125,0.76372784,natural
10.576361,4.236008,natural
7.7591,-1.8834274,natural
7.0657387,6.5784326,natural
5.6885896,-2.6994493,natural
15.820785,2.3731906,natural
11.064915,4.897283,natural
12.5536995,0.7424775,natural
11.711689,1.0243506,natural
14.825236,1.2489429,natural
15.899782,3.2482,natural
15.827042,1.6424574,natural
10.543935,4.1725893,natural
6.015462,-2.4595785,natural
4.293277,-2.8077176,natural
11.422274,2.7664163,natural
9.635279,3.4886634,natural
11.596321,-1.7805477,natural
4.8533015,-2.7695336,natural
13.56818,0.4301438,natural
11.495758,1.2345831,natural
14.973931,-0.3218192,natural
2.0760002,-3.535347,natural
6.9762416,-2.2420378,natural
2.08565,-3.4717517,natural
11.0205145,3.2493308,natural
15.311739,3.5705392,natural
15.107344,2.1627357,natural
13.393495,3.9811845,natural
11.146233,0.15920216,natural
2.0030816,0.15272704,natural
14.783976,3.3718994,natural
5.2248216,-4.5845375,natural
5.3541937,-2.8088207,natural
12.326228,1.5170999,natural
-1.9339238,3.6347942,natural
8.75388,2.8985353,natural
4.6753383,-1.8448962,natural
8.361884,5.804401,natural
8.077399,-1.6426275,natural
15.233005,3.8076892,natural
13.4569645,0.9690074,natural
7.535108,-1.5404763,natural
15.200461,1.9990714,natural
1.0383509,-3.0222728,natural
4.9646006,-2.0482092,natural
10.574463,-1.3091207,natural
15.727184,1.9145613,natural
6.9104247,-1.8132257,natural
4.9926667,-2.3541563,natural
12.936416,1.3304106,natural
15.206161,-1.9012889,natural
4.550444,-3.0389373,natural
10.543519,0.07659809,natural
6.577569,-2.8430085,natural
2.3216195,-2.8184211,natural
15.207833,3.1530795,natural
16.140234,2.1103814,natural
13.114232,2.4422297,natural
13.691106,0.470425,natural
